method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,rrg,0.0,0.3,0.3,0,0.7,0.70000017,0.0,0.0,13.984024195039057,20.22028931886013,15.333333333333334,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,1,0.6666666666666666,0.7000001,0.0,0.0,20.472554308324504,20.261571616144124,14.5,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,2,0.6666666666666666,0.7000002,0.0,0.0,17.606548535389944,20.798797139058966,18.0,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,3,0.7666666666666667,0.70000017,0.0,0.0,14.479608424730912,19.941571385479577,15.142857142857142,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,4,0.8,0.7000002,0.0,0.0,16.413418600638426,20.911627821576886,9.333333333333334,0.0,0.0,0.0
random,rrg,0.1,0.3,0.3,0,0.7666666666666667,0.7254805,0.12500000000000036,0.0849346623584414,12.434983388872505,17.048794971485503,15.25,1.0,0.125,0.2222222222222222
random,rrg,0.1,0.3,0.3,1,0.6666666666666666,0.71261203,-0.11111111111111106,0.04203957671141918,13.47810557204706,16.322421081955888,11.777777777777779,0.3333333333333333,0.1111111111111111,0.16666666666666666
random,rrg,0.1,0.3,0.3,2,0.7333333333333333,0.7208574,0.11111111111111106,0.06952390356676451,14.650561257475083,18.293915948728493,13.11111111111111,1.0,0.1111111111111111,0.19999999999999998
random,rrg,0.1,0.3,0.3,3,0.7666666666666667,0.72722244,0.22222222222222252,0.0907411502468726,15.55157590350703,17.960940802084064,15.0,1.0,0.2222222222222222,0.3636363636363636
random,rrg,0.1,0.3,0.3,4,0.8,0.73809546,-0.2,0.12698438874012002,11.434028967469613,15.395702876345059,17.4,0.0,0.0,0.0
random,rrg,0.2,0.3,0.3,0,0.7666666666666667,0.7552728,0.3000000000000002,0.184242231821666,11.245159947760461,13.766662582038725,10.9,1.0,0.3,0.4615384615384615
random,rrg,0.2,0.3,0.3,1,0.8333333333333334,0.7389153,0.16666666666666666,0.129717090313622,10.218274126223672,16.03054369474359,12.333333333333334,0.6666666666666666,0.3333333333333333,0.4444444444444444
random,rrg,0.2,0.3,0.3,2,0.7,0.7277022,0.09999999999999996,0.09233962209419572,7.590397179125267,13.711039592854815,12.0,0.6666666666666666,0.2,0.30769230769230765
random,rrg,0.2,0.3,0.3,3,0.8,0.7682473,0.14285714285714285,0.22749043791764262,10.843616149905284,14.570805113971534,11.142857142857142,0.6666666666666666,0.2857142857142857,0.4
random,rrg,0.2,0.3,0.3,4,0.8,0.84485704,0.3333333333333336,0.48285639978534367,20.766360933961764,11.530556163704267,7.777777777777778,1.0,0.3333333333333333,0.5
random,rrg,0.30000000000000004,0.3,0.3,0,0.6,0.78873914,0.0769230769230769,0.29579661767227394,12.734951844643057,11.22588860671613,11.307692307692308,0.6666666666666666,0.15384615384615385,0.25
random,rrg,0.30000000000000004,0.3,0.3,1,0.6666666666666666,0.79551595,0.28571428571428564,0.31838600036835696,10.309938918003072,12.701310965774509,11.071428571428571,0.75,0.42857142857142855,0.5454545454545454
random,rrg,0.30000000000000004,0.3,0.3,2,0.7333333333333333,0.81852514,-0.6000000000000006,0.3950834485359303,15.993350667877111,9.950248070943339,15.6,0.2,0.2,0.20000000000000004
random,rrg,0.30000000000000004,0.3,0.3,3,0.5666666666666667,0.8253485,-0.18181818181818177,0.4178278819215201,11.174080177353122,8.315183795955289,12.454545454545455,0.3333333333333333,0.18181818181818182,0.23529411764705885
